No;File;Artist;Title;Mood
0;TRBDNZI128F14A9065.h5;Foghat;Zig-Zag Walk;happy
1;TRBDUSM128F9339A13.h5;Maximilian Hecker;Let Me Out;sad
2;TRBDMDS128F930B8F1.h5;System of a Down;Streamline;sad
3;TRBDWDQ128F1455787.h5;3 Doors Down;Here Without You;sad
4;TRBDWLE128F42B3112.h5;Barry Manilow;This One's For You;sad
5;TRBDSLA128F4288246.h5;Toni Braxton;Best Friend;sad
6;TRBDIBC12903CE95C2.h5;Nick Cave & The Bad Seeds;Christina The Astonishing (2010 Digital Remaster);sad
7;TRBDBJM128F1456D2D.h5;MxPx;Drum Machine Joy;sad
8;TRBDBOI128E07817D7.h5;Electric Light Orchestra;Queen Of The Hours (2001 Digital Remaster);sad
9;TRBDRFM128F9301DAD.h5;The Winans;The Question Is (Album Version);sad
10;TRBDTZX128F92DFA66.h5;Jars Of Clay;Don't Stop;happy
11;TRBDVZL128F92F579F.h5;Dickies;Pretty Please Me;happy
12;TRBDHKL128F426BE45.h5;Rihanna;Good Girl Gone Bad;happy
14;TRBDENB128F42B7798.h5;Bone Thugs-N-Harmony;2 Glocks;sad
15;TRBDYIC128F92F1D17.h5;Slum Village;CB4;sad
16;TRBDXVN128F42334DD.h5;Busta Rhymes;When Disaster Strikes (Explicit LP Version);sad
17;TRBFNDW128F9359ECE.h5;Mississippi John Hurt;Coffee Blues;happy
18;TRBFMGQ128F931E0A0.h5;Kenny Rogers;Love Is What We Make It;happy
19;TRBFMAS128E078F352.h5;The Cardigans;Marvel Hill;sad
20;TRBFWSP128F92F29B4.h5;Warrant;Bed Of Roses;happy
21;TRBFWYX128F145F889.h5;Lil Wayne;Fly Talkin';sad
22;TRBFJGB128F42612B1.h5;Brooke Valentine;American Girl;happy
23;TRBFLER128F148C52B.h5;The Mighty Mighty Bosstones;Pictures To Prove It;sad
24;TRBFPCL128F1481F2A.h5;Robert Palmer;Man Smart Woman Smarter;happy
25;TRBFPRL128F14569B9.h5;Leona Naess;Paper Thin;sad
26;TRBFSNP128F14572B5.h5;Vixen;One Night Alone;happy
27;TRBFIHG128F4289CF9.h5;The Ataris;Make It Last;sad
28;TRBFIUJ12903CFEB7C.h5;Winds Of Plague;Origins And Endings;sad
29;TRBFBAB128F4227B85.h5;Porcupine Tree;Strip The Soul (album version);sad
30;TRBFBOG128F9356C6E.h5;EPMD;Head Banger;sad
31;TRBFKMN128F4286D1B.h5;Behemoth;Malice;sad
32;TRBFVZI128F147FCAF.h5;Phil Collins;Please Come Out Tonight;sad
33;TRBFVMO128F14537D3.h5;Gorillaz;All Alone (Live);sad
34;TRBFHQG128F93092E5.h5;Donnie McClurkin;Psalm 27;happy
35;TRBFHSR128F1472A36.h5;Talking Heads;Papa Legba (2005 Digital Remaster);sad
36;TRBFHRA128F424D28A.h5;Bessie Smith;Chicago Bound Blues;sad
37;TRBFAKP128F148B600.h5;Blackfoot;Heart's Grown Cold (LP Version);happy
38;TRBGNUG128F92D43E2.h5;Naughty By Nature;Ring The Alarm;sad
39;TRBGNNC128F148D427.h5;EPMD;For My People;sad
40;TRBGULP128F422F290.h5;Silverstein;Defend You (Album Version);sad
41;TRBGMJF128F425E8EA.h5;30 Seconds To Mars;End Of The Beginning;sad
42;TRBGWVI128E0788AE7.h5;22-20s;Hold On;sad
43;TRBGWGD128F42418B2.h5;Life In Your Way;When Rules Change;happy
44;TRBGDQS128F9341414.h5;Gary Go;Open Arms;sad
45;TRBGDXT128F1487E86.h5;He Is Legend;Stampede;sad
46;TRBGJDW128F4292EDB.h5;Alicia Keys;Karma;sad
47;TRBGZKO128F92DB016.h5;Bloc Party;Zephyrus;sad
48;TRBGPCC128F428FF02.h5;Suicidal Tendencies;Looking In Your Eyes;sad
49;TRBGPWE128F421CCB4.h5;Roger Creager;All For The Sake Of The Song;sad
50;TRBGGOS128F9307FC5.h5;Remy Shand;The Second One;happy
51;TRBGGBF128F425E4D1.h5;bel canto;Rumour (Abstract Hip Hop Mix);happy
52;TRBGIZH128F4252D9E.h5;Radiohead;2 + 2 = 5;sad
53;TRBGBGO128F4264203.h5;Firehouse;Talk Of The Town;happy
54;TRBGBUY128F422B413.h5;Casiotone For The Painfully Alone;Attic Room;sad
55;TRBGRIP128F147FCA6.h5;Phil Collins;Everyday;sad
56;TRBGKZD12903D13D23.h5;Ned Miller;From A Jack To A King;happy
58;TRBGODE128E0785BC8.h5;Ben Jelen;Come On (Sessions@AOL Version);sad
59;TRBGOAU128F4255BDA.h5;Janet Jackson;Again (Instrumental);sad
60;TRBGCAK128F425F3CC.h5;The Prodigy;Firestarter;sad
61;TRBGCLK128F4237A50.h5;Phil Collins;Testify;sad
62;TRBGCUP12903CCFE38.h5;Adam Ant;Mohair Locker Room Pin-Up Boys;happy
63;TRBGHRA128F42B90E6.h5;The Cardigans;Explode;sad
64;TRBGAWQ128F9305F25.h5;Seventh Day Slumber;Famous One;happy
65;TRBGEGB128F9345BD0.h5;Cece Winans;Come On Back Home;sad
66;TRBGYDZ12903D075D4.h5;Patty Griffin;All Creatures Of Our God And King;happy
67;TRBGYVK128F426A0D6.h5;Joey Negro;Make A Move On Me;happy
68;TRBGXHJ128F93302C7.h5;FFH;Listen;sad
69;TRBIDUK128F42806A4.h5;Tampa Red;No Matter How She Done It;happy
70;TRBIJYB128F14AE326.h5;Seventh Day Slumber;Shattered Life;sad
71;TRBIFGK128F92F23A2.h5;The Killers;A Dustland Fairytale;sad
72;TRBIFWB128F1460D8C.h5;Mötley Crüe;Merry-Go-Round;happy
73;TRBIFUV12903D07374.h5;Minnie Riperton;Lovin' You;happy
74;TRBIGGV12903CABC77.h5;4Him;Strange Way To Save The World;happy
75;TRBIGRY128F42597B3.h5;Sade;All About Our Love;sad
76;TRBIGRU128F145B139.h5;Alias;Standing In The Darkness;happy
77;TRBIIJY12903CE4755.h5;Mindy McCready;Ten Thousand Angels;happy
78;TRBIIOT128F423C594.h5;Joy Division;Leaders Of Men;sad
79;TRBIIEU128F9307C88.h5;New Found Glory;Don't Let Her Pull You Down;happy
80;TRBIBTE128E078E882.h5;The Jam;Start!;sad
81;TRBIBAQ128F93279F5.h5;Bad Company;Crazy Circles;happy
82;TRBIBGN128F42ADC66.h5;Phantom Planet;The Meantime;happy
